Número Laboratorio,Fecha AP,Región,Sitio,Fecha aC/dC,Etapa,Referencia,Título,Página,Tipo de fecha,Material,Fecha cristiana,Variación,Nivel,Profundidad,Contexto,Estructura,Período,Comentario,Incongruencias,Uso
Beta 10404,1430,Alto Magdalena,Purutal,,Cacicazgos,"Cubillos,1986",Arqueología de San Agustín: Alto de El Purutal.,102,C-14,Carbón,520,60,,,,Montículo,Edad premonticular,Clásico regional según Duque y Cubillos (1988:105). La fecha sale del relleno del  templete.,FALSE,FALSE
Beta 10405,1970,Alto Magdalena,Purutal,,Cacicazgos,"Cubillos,1986; Duque & Cubillos, 1988:105",Arqueología de San Agustín: Alto de El Purutal.,102,C-14,Carbón,-20,80,,,,,Floreciente Regional,"La fecha sale del relleno de una tumba 1. Aparece como 10 AC en Uribe (1990: 220). Purutal, Tumba 1",FALSE,FALSE
Beta 104490,5910,Altiplano Cundiboyacense,Potreroalto,,Formativo,Orrantia 1997,Potreroalto: Informe preliminar sobre un sitio temprano en la Sabana de Bogotá.,184,,,-3960,70,,,,,,Información Eriagie.,FALSE,FALSE
Beta 104491,6830,Altiplano Cundiboyacense,Potreroalto,,Paleoindio,Orrantia 1997,Potreroalto: Informe preliminar sobre un sitio temprano en la Sabana de Bogotá.,184,,,-4880,110,,,,,,Información Eriagie.,FALSE,FALSE
Beta 104556,5620,,El Pomo,,Formativo,"Rodríguez, 1997","Rescate arqueológico sitios Los Arrayanes Pk 91+150, Villamaría-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final.",,,,-3670,90,,,,,,Información Erigaie. Aparece en el catalogo Erigaie como El Pomo-PK 7+200.,FALSE,FALSE
Beta 104559,6520,,Los Arrayanes-PK 91+150,,Paleoindio,"Rodríguez, 1997","Rescate arqueológico sitios Los Arrayanes Pk 91+150, Villamaría-Caldas y El Pomo Pk 7+200 ramal a Manzanares, Fresno-Tolima. Informe final.",,,,-4570,90,,,,,,Información Erigaie,FALSE,FALSE
Beta 104770,6660,Macizo Antioqueño,Pedrero I,,Paleoindio,Botero & Salzar 1998,"El Pedrero. Evidencias de antiguos especialistas en el municipio de El Carmen de Viboral, departamento de Antioquia-Colombia.",178,C-14,Carbón,-4710,100,,,,,,,FALSE,FALSE
Beta 104771,4700,Macizo Antioqueño,Pedrero II,,Formativo,Botero & Salzar 1998,"El Pedrero. Evidencias de antiguos especialistas en el municipio de El Carmen de Viboral, departamento de Antioquia-Colombia.",178,C-14,Carbón,-2750,70,,,,,,,FALSE,FALSE
Beta 104772,4510,Montaña Santandereana,Pedrero III,,Formativo,Botero & Salzar 1998,"El Pedrero. Evidencias de antiguos especialistas en el municipio de El Carmen de Viboral, departamento de Antioquia-Colombia.",178,C-14,Carbón,-2560,80,,,,,,,FALSE,FALSE
Beta 104902,1470,Alto Magdalena,Alto de Lavaderos 1,,Cacicazgos,Llanos & Ordoñez 1995,Viviendas y tumbas en los altos de Lavaderos del Valle del Río Granadillos - San Agustín (El Rosario).,18,C-14,Carbón,480,70,,,,,Reciente,"Corte 9. Llanos & Ordoñez, 1998:36",FALSE,FALSE
Beta 104903,1450,Alto Magdalena,Alto de Lavaderos 2,,Cacicazgos,Llanos & Ordoñez 1995,Viviendas y tumbas en los altos de Lavaderos del Valle del Río Granadillos - San Agustín (El Rosario).,20,C-14,Carbón,500,50,,50,Basurero,,Reciente,"Pozo 8, Al norte de Alto de Lavaderos se excavaron 7 tumbas del Formativo (Llanos, & Ordoñez, 1995:21-25). Ver Llanos & Ordoñez (1998:40).",FALSE,FALSE
Beta 104904,5220,Alto Magdalena,Alto de Lavaderos 5,,Formativo,Llanos & Ordoñez 1995,Viviendas y tumbas en los altos de Lavaderos del Valle del Río Granadillos - San Agustín (El Rosario).,31,C-14,Carbón,-3270,70,,,,Montículo,Clásico Regional,"Montículo C, Corte 4; Montículo artificial. Dudosa (Llanos y Ordóñez 1995:31-32), pero ver Llanos & Ordoñez (1998:70, 77).",FALSE,FALSE
Beta 105460,1400,Macizo Antioqueño,Piedras Blancas 2,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,165,C-14,Carbón,550,80,,,,,Marrón Inciso,"Pozo de Sondeo 1, Estrato II. Copia del reporte de Beta Analytic en Múnera (1998: Anexo C). Inciso Borde Doblado en estrato superior (Múnera 1998:4-7, 7-6).",FALSE,FALSE
Beta 105461,570,Macizo Antioqueño,Medialuna 1,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,166,,,1380,70,,,,,Ferrería ?,Pozo de Sondeo 2. En Múnera (1998: 4-4) se atribuye al Yac. 49 y con Inciso Borde Doblado. Pero es Ferrería en Múnera (1998: 4-10).,FALSE,FALSE
Beta 105462,3480,,Nechí 2 - Yacimiento 14,,Formativo,Múnera 1998 Anexo C,Proyecto hidroeléctrico Nechí. Estudio de impacto ambiental. Prospección arqueológica. Informe final.,,,Carbón,-1530,70,Estrato II,,,,,"Pozo de Sondeo 2. Cerámica Temprana sin Identificar. Botero et al. 1998:166. Ollas globulares, subglobulares, bordes evertidos, incisión en líneas curvas. Pastas granulosas, colores oscuros (café, marrón y rojo); la cocción mal controlada. Desgrasante: como cuarzo - mica, mica - feldespato y esquisto.",FALSE,FALSE
Beta 106896,1960,Macizo Antioqueño,El Purgatorio,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,166,C-14,Carbón,-10,10,Estrato III,,,,,Pozo de Sondeo 2,FALSE,FALSE
Beta 106897,1320,Macizo Antioqueño,La Gata,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,166,C-14,Carbón,630,70,Estrato III,,,,,Pozo de Sondeo 1,FALSE,FALSE
Beta 106899,760,Macizo Antioqueño,Sierra Grande,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,165,C-14,Carbón,1190,60,Estrato II,,Habitación,,Ferrería,Pozo de Sondeo 2,FALSE,FALSE
Beta 106901,1660,Macizo Antioqueño,La Montera,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,166,C-14,Carbón,290,140,Estrato III,,,,Marrón Inciso,Pozo de Sondeo 1,FALSE,FALSE
Beta 106986,1960,Macizo Antioqueño,El Purgatorio,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,166,,,-10,80,Estrato III,,Habitación,,Marrón Inciso,Pozo de Sondeo 2,FALSE,FALSE
Beta 107144,1950,Macizo Antioqueño,La Camelia,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,166,C-14,Carbón,0,80,Estrato II,,,,,Pozo de Sondeo 4. Asociada a cerámica no clasificada.,FALSE,FALSE
Beta 107194,1950,,Nechí 26,,Cacicazgos,Múnera 1998 Anexo C,Proyecto hidroeléctrico Nechí. Estudio de impacto ambiental. Prospección arqueológica. Informe final.,,C-14,Carbón,0,60,Estrato II,,,,,Pozo de Sondeo 4,FALSE,FALSE
Beta 107195,360,Macizo Antioqueño,"Las Delicias, Antioquia",,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,165,C-14,Carbón,1590,80,Estrato III,,,,Inciso Borde Doblado,"Pozo de Sondeo 3. En sondeos 4 y 5 del yacimiento se halló asociada cerámica Marrón Inciso e Inciso Borde Doblado (Múnera 1998: 4 - 4, 7- 5, 7 - 6)",FALSE,FALSE
Beta 107196,1700,Macizo Antioqueño,La Honda 5 / Yacimiento 43,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,165,C-14,Carbón,250,70,Estrato 1,,,,Inciso Borde Doblado,Pozo de Sondeo 2. Copia del reporte de Beta Analytic en Múnera (1998: Anexo C).,FALSE,FALSE
Beta 107197,680,Macizo Antioqueño,La Larga 4,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,165,C-14,Carbón,1270,60,Estrato III,,Habitación,,Inciso Borde Doblado,Pozo de Sondeo 2. Copia del reporte de Beta Analytic en Múnera (1998: Anexo C).,FALSE,FALSE
Beta 107198,780,Macizo Antioqueño,El Porvenir 4,,Cacicazgos,Botero; Monsalve & Múnera 1998,Nuevos contextos fechados en el Macizo Central Antioqueño.,165,C-14,Carbón,1170,80,,,,,Inciso Borde Doblado,"Pozo de Sondeo 4. En PS 2, Est III, mismo yacimiento, se obtuvo Marrón Inciso y en R.S. (Múnera 1998: 4 - 4, 4 - 8, 7 - 5). Revisar si es la datación 1170 d.C., para Inciso con Borde Doblado y Marrón Inciso (Múnera 1998: 7- 5, 7 - 6).",FALSE,FALSE
Beta 107199,10,,Nechí 90,,Republicano,Múnera 1998 Anexo C,Proyecto hidroeléctrico Nechí. Estudio de impacto ambiental. Prospección arqueológica. Informe final.,,C-14,Carbón,1940,50,Estrato II,,,,,Pozo de Sondeo 1,FALSE,FALSE
Beta 107200,1840,,Yacimiento 092 / El Lago,,Cacicazgos,Múnera 1998 Anexo C,Proyecto hidroeléctrico Nechí. Estudio de impacto ambiental. Prospección arqueológica. Informe final.,,C-14,Carbón,110,110,Estrato II,,,,Marrón Inciso,"Pozo de Sondeo 6. 4 - 8, Anexo C. Ver Botero et al. (1998: 165). Son seguridad sobre el período.",FALSE,FALSE
Beta 10765,480,Alto Magdalena,Guayabal,,Cacicazgos,"Patiño, & Gnecco, 1992",Ocupaciones prehispánicas del Alto Patia.,76,C-14,Carbón,1470,110,,,Tumba,,Fase Guachicono,"Tumba 7. Se asocia a tipo Rojo sobre crema, Policromo y pintura roja y 2 más sin decoración Café Arenoso y Rojo friable.",FALSE,FALSE
Beta 10766,870,Alto Magdalena,Guayabal,,Cacicazgos,"Patiño, & Gnecco, 1992",Ocupaciones prehispánicas del Alto Patia.,72,,,1080,60,,,,,Fase Alto Patia,En esta fase no hay pintura. Los tipos asociados son Inciso-impreso y Patia Café Arenoso. El Inciso arenoso recuerda la cerámica de la fase Bucheli de Tumaco.,FALSE,FALSE
Beta 107961,1920,Valles alto Calima y alto y medio del Cauca,,,Cacicazgos,Uribe 2005,"Mujeres, calabazos, brillo y tumbaga. Símbolos de vida y transformación en la orfebrería Quimbaya temprana.",67,C-14,,30,50,,,,,,"Nariguera, colección Museo del Oro MO 00274.",FALSE,FALSE
Beta 108020,510,Magdalena medio,"Torre 5, Yac 1 A-2523",,Cacicazgos,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1470,50,,10-15,,,Horizonte Magdalena Medio - Colorados,Corte 1,FALSE,FALSE
Beta 108021,530,Magdalena medio,"Torre 5, Yac 1 A-2539",,Cacicazgos,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1420,60,,20-25,,,Horizonte Magdalena Medio - Colorados,Corte 1,FALSE,FALSE
Beta 108022,970,Magdalena medio,"Yac 6, A-2612",,Cacicazgos,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,,C-14,Carbón,980,60,,10-15,,,Horizonte Magdalena Medio - Colorados,,FALSE,FALSE
Beta 108041,520,,Caramanta,,Cacicazgos,Rivera & Betancur 1997,Monitoreo arqueológico de la Línea Troncal del Gasoducto Sebastopol - Medellín.,70,C-14,Carbón,1430,50,,20-40,,,,"Corte 1. Borde recto, decoración corrugada, técnica presión dígito ungulada",FALSE,FALSE
Beta 10910,990,Magdalena medio,Butatán,,Cacicazgos,Cadavid 1989,Valle intermedio del río Magdalena.,63,C-14,Carbón,960,70,,,Tumba,,,960 AP en Castaño 1992: 22.,FALSE,FALSE
Beta 10911,1070,Magdalena medio,Alto de Junín,,Cacicazgos,Cadavid 1989,Valle intermedio del río Magdalena.,63,,Carbón,880,100,,,Basurero,,,800 AP en Castaño 1992: 22,FALSE,FALSE
Beta 109356,140,,Torre 48,,Republicano,Piazzini 1998,El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1810,50,Nivel 2,20,,,Horizonte Magdalena Medio - Colorados,"Corte 5, Cuadrícula F",FALSE,FALSE
Beta 109358,420,,Torre 215,,Cacicazgos,"Piazzini, 1998",El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1530,70,,15-25,,,Horizonte Magdalena Medio - Colorados,Corte 4,FALSE,FALSE
Beta 109359,730,,Torre 215,,Cacicazgos,"Piazzini, 1998",El programa de arqueología de ISA en el contexto de la arqueología de Colombia.,29,C-14,Carbón,1220,50,,20-30,,,,Corte 1,FALSE,FALSE
Beta 109561,120,,El Río 1,,Republicano,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",81,C-14,Carbón,1830,100,,,,,,,FALSE,FALSE
Beta 109562,340,,El Río 1,,Colonial,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",80-81.,C-14,Carbón,1610,60,,,,,,,FALSE,FALSE
Beta 109563,2930,,D 02 (08),,Formativo,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",70?,C-14,Carbón,-980,40,,,,,La Cancana?,Sondeo 1 (Pozo 1?),FALSE,FALSE
Beta 109564,3700,Macizo Antioqueño,D 02 (08),,Formativo,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",70?,C-14,Carbón,-1750,40,,,,,La Cancana?,Sondeo 1 (Pozo 1?),FALSE,FALSE
Beta 11120,1590,,La Palma,,Cacicazgos,"Botero,  Monsalve & Múnera  1998",Nuevos contextos fechados en el Macizo Central Antioqueño.,167,C-14,Carbón,360,60,,,,,Marrón Inciso,Rasgo 3,FALSE,FALSE
Beta 11131,1520,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Cinto,,Cacicazgos,"Oyuela, 1985; 1986:26",Fases arqueológicas de las ensenadas de Nahuange y Cinto.,18,C-14,Carbón,430,60,,,,,Nahuange,Asociado a cerámica  de los tipos carmelito burdo y carmelito fino. Esta fecha en la segunda referencia tiene el número Beta 11134,TRUE,FALSE
Beta 11134,1520,Llanuras del Caribe cuencas bajas Sinú y San Jorge,Cinto,,Cacicazgos,"Oyuela, 1986",Contribución a la periodización cultural en el litoral del parque Tairona.,26,C-14,Carbón,430,60,,120-130,,,,,TRUE,FALSE
Beta 111424,1020,Tierras bajas orientales,Aguazul CC2,,Cacicazgos,Alarcón &  Segura 1998,Rescate arqueológico en el municipio de Aguazul-Casanare.,"33, 39",C-14,Carbón,930,40,Nivel 6,,,,,Información fundación Erigaie.,FALSE,FALSE
Beta 111425,1430,Tierras bajas orientales,Aguazul CC2,,Cacicazgos,Alarcón & Segura  1989,Rescate arqueológico en el municipio de Aguazul-Casanare.,"33, 39, 95, 100",C-14,Carbón,520,40,Nivel 8,,,,,"Cuadrícula C, Información Eriagie",FALSE,FALSE
Beta 111753,1620,,Tasajera,,Cacicazgos,"Rivera, &  Betancur 1997",Monitoreo arqueológico de la Línea Troncal del Gasoducto Sebastopol - Medellín.,70,C-14,Carbón,330,60,,200-225,Tumba,,Marrón Inciso,Tumba 5,FALSE,FALSE
Beta 111754,1550,,Tasajera,,Cacicazgos,"Rivera, &  Betancur 1997",Monitoreo arqueológico de la Línea Troncal del Gasoducto Sebastopol - Medellín.,70,C-14,Carbón,400,60,,,,,Marrón Inciso,,FALSE,FALSE
Beta 111755,1010,,Tasajera,,Cacicazgos,"Rivera, &  Betancur 1997",Monitoreo arqueológico de la Línea Troncal del Gasoducto Sebastopol - Medellín.,70,C-14,Carbón,940,50,,,,,Marrón Inciso,Unidad de Excavación 2,FALSE,FALSE
Beta 111972,12910,,El Jordán,,Paleoindio,Salgado 1998,Exploraciones arqueológicas en la Cordillera Central. Roncesvalles - Tolima.,"7, 78",C-14,Carbón,-10960,60,,110-130,,,110-130,"Terraza 1, Unidad de Excavación 10",FALSE,FALSE
Beta 111973,1020,,La Granja,,Cacicazgos,Salgado 1998,Exploraciones arqueológicas en la Cordillera Central. Roncesvalles - Tolima.,7,C-14,Carbón,930,60,,100-115,,,,"Terraza 1, Rasgo 1.",FALSE,FALSE
Beta 112162,340,,Quebrada Masato,,Colonial,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.","110, 192",C-14,Carbón,1610,60,,,,,,Relacionada con un incendio forestal (Ardila 1998: 192).,FALSE,FALSE
Beta 112163,180,,Terraza 3 (Localidad 4),,Colonial,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",83,C-14,Carbón,1770,60,,,,,,Terraza 3 (Localidad 4),FALSE,FALSE
Beta 112164,1930,,Terraza 14 (Localidad 15),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",84,C-14,Carbón,20,100,,17,,,,Sondeo 4,FALSE,FALSE
Beta 112165,600,,Terraza 17b (Localidad 21),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",85,C-14,Carbón,1350,70,,,,,,Sondeo 6,FALSE,FALSE
Beta 112167,400,,Terraza 19k (Localidad 38),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",86,C-14,Carbón,1550,70,,,,,,,FALSE,FALSE
Beta 112168,960,,Terraza 32e (Localidad 71),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Valle del Riachón, Noroeste de Antioquia, Colombia.",87,C-14,Carbón,990,90,,,,,,Sondeo 1,FALSE,FALSE
Beta 112169,90,,B 01 (01),,Republicano,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",70?,C-14,Carbón,1860,60,,,,,,,FALSE,FALSE
Beta 112170,930,,C 02 (06),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",70?,C-14,Carbón,1020,60,,25-40 ?,,,,Sondeo 2,FALSE,FALSE
Beta 112171,670,,G 13 (32),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",80,C-14,Carbón,1280,90,,,,,,,FALSE,FALSE
Beta 112173,660,,S 07 (09),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",81,C-14,Carbón,1290,110,,,,,,"Sondeo 1. Relacionada por cronología y cerámica con Beta 112171 (Ardila, 1998: 81).",FALSE,FALSE
Beta 112174,880,,S 14 (78),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",83,C-14,Carbón,1070,50,,,,,,,FALSE,FALSE
Beta 112175,640,,S 20 (84),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",84,C-14,Carbón,1310,50,,,,,,Sondeo 4,FALSE,FALSE
Beta 112565,1030,,San Antonio,,Cacicazgos,"Botero,  Monsalve & Múnera  1998",Nuevos contextos fechados en el Macizo Central Antioqueño.,165,C-14,Carbón,920,30,Estrato II,,Habitación,,Cauca Medio / Aplicado Inciso?,Pozo de Sondeo 1,FALSE,FALSE
Beta 112566,1750,,Los Asientos 5,,Cacicazgos,"Botero,  Monsalve & Múnera  1998",Nuevos contextos fechados en el Macizo Central Antioqueño.,167,C-14,Carbón,200,120,,,,,Marrón Inciso y Ferrería,,FALSE,FALSE
Beta 112567,1640,,Los López 6,,Cacicazgos,"Botero,  Monsalve & Múnera  1998",Nuevos contextos fechados en el Macizo Central Antioqueño.,167,C-14,Carbón,310,40,Estrato III,,,,,Pozo de Sondeo 1,FALSE,FALSE
Beta 1133,2160,Altiplano Cundiboyacense,Piedra Pintada,,Cacicazgos,"Becerra, 1985",Los abrigos naturales de la región de Ventaquemada.,74,C-14,Carbón,-210,60,,,Habitación,,Herrera,"En  Pinto 2003:49 aparece como Beta 11133, perteneciente a Ventaquemada 1.",FALSE,FALSE
Beta 113703,1030,,La Granja,,Cacicazgos,Salgado 1998,Exploraciones arqueológicas en la Cordillera Central. Roncesvalles - Tolima.,7,C-14,Carbón,920,60,,40-50,,,,"Plataforma 3, Unidad de Excavación 3",FALSE,FALSE
Beta 114038,980,,Sin información,,Cacicazgos,Obregón et al. 1998,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",6,C-14,Carbón,970,60,,,,,,,FALSE,FALSE
Beta 114039,320,,Sin información,,Colonial,Obregón et al. 1998,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",6,C-14,Carbón,1630,60,,,,,,,FALSE,FALSE
Beta 114040,6190,,Sin información,,Formativo,Obregón et al. 1998,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",6,C-14,Carbón,-4240,70,,,,,,,FALSE,FALSE
Beta 114041,990,,Sin información,,Cacicazgos,Obregón et al. 1998,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",7,C-14,Carbón,960,70,,,,,,,FALSE,FALSE
Beta 114042,1420,,Sin información,,Cacicazgos,Obregón et al. 1998,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",7,C-14,Carbón,530,70,,,,,,,FALSE,FALSE
Beta 114043,1760,,Sin información,,Cacicazgos,Obregón et al. 1998,"Acercamiento arqueológico a sitios prehispánicos alrededor de una fuente salina. Corregimiento Santa Rita, Municipio de Andes.",7,C-14,Carbón,190,60,,,,,,,FALSE,FALSE
Beta 114826,1030,,H 02 (37),,Cacicazgos,Ardila 1998,"Prospección Arqueológica del Cañón del río Porce, Noroeste de Antioquia, Colombia.",83,C-14,Carbón,920,80,,,,,,,FALSE,FALSE
